study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,final_score
1.9,80.5,68.7,5,8.3,Yes,63.9
1.2,70.6,56.5,8,5.2,Yes,59.1
6.3,92.0,44.2,3,8.6,No,76.3
5.3,95.0,67.5,9,9.0,No,88.8
5.9,67.7,83.7,8,6.2,Yes,86.2
2.5,61.8,78.9,7,5.8,Yes,77.3
2.0,89.0,42.8,5,8.1,Yes,66.8
1.1,63.7,44.0,5,6.0,No,54.1
3.5,91.1,62.2,4,8.5,Yes,83.7
5.1,71.2,56.2,3,5.4,Yes,74.8
3.7,83.4,52.8,7,5.5,Yes,79.2
4.1,54.8,55.5,9,8.9,No,76.0
7.3,81.2,84.2,5,7.7,Yes,95.1
3.4,72.6,91.1,5,8.4,No,89.0
4.6,79.3,62.3,7,6.3,No,77.0
6.5,58.4,89.8,8,7.7,Yes,93.9
3.8,86.8,57.7,8,7.4,No,79.3
5.4,93.1,66.2,3,7.4,Yes,82.1
7.0,60.8,52.4,10,7.7,No,86.0
7.6,54.8,75.2,4,7.3,No,89.1
2.0,51.2,93.8,5,6.7,Yes,75.9
7.5,82.1,73.2,10,6.1,Yes,98.8
4.4,80.4,59.7,10,8.1,Yes,86.3
2.8,77.3,75.6,4,5.9,No,77.2
4.2,61.6,46.8,10,7.8,No,77.8
7.9,69.5,88.9,10,5.9,Yes,100.0
4.4,79.7,67.7,8,7.5,Yes,93.4
3.3,74.8,64.7,8,8.0,No,84.3
5.4,99.4,72.2,6,5.9,No,82.6
2.7,56.8,74.4,9,5.2,No,76.2
1.5,84.8,43.9,3,5.5,Yes,58.0
1.9,70.2,77.5,10,7.4,No,75.6
1.9,71.4,53.3,6,8.4,Yes,69.5
2.1,85.9,79.3,9,5.2,No,83.7
2.0,84.6,85.2,6,7.9,No,82.3
5.5,99.6,84.2,6,6.4,Yes,93.6
2.3,56.4,70.4,3,6.9,Yes,69.5
3.4,55.2,68.6,3,8.7,Yes,68.8
7.3,86.2,47.9,7,6.3,No,88.5
4.3,78.9,82.6,4,6.9,No,80.7
5.7,63.7,54.9,4,5.1,No,70.5
2.2,54.0,67.3,7,5.3,Yes,71.1
2.3,54.3,55.6,7,6.0,No,56.5
1.3,94.7,47.4,8,5.1,Yes,77.8
2.2,59.6,74.6,9,7.5,Yes,68.5
3.0,66.2,43.0,6,6.7,Yes,62.7
2.2,61.3,81.2,10,7.2,No,80.2
1.6,67.7,57.5,7,5.7,No,65.4
1.8,53.5,40.0,5,6.2,Yes,53.9
4.2,76.0,68.1,4,7.7,No,76.9
2.4,53.4,42.6,7,8.9,Yes,66.8
3.5,90.0,55.2,5,5.2,Yes,73.0
4.5,61.7,78.9,5,8.6,No,88.4
5.8,77.0,43.4,5,7.3,Yes,83.3
1.3,94.0,86.2,8,7.3,Yes,89.2
6.6,82.5,40.2,8,7.0,No,78.8
5.4,76.6,53.6,10,5.3,Yes,85.1
1.6,66.2,80.7,10,5.4,Yes,75.8
7.1,66.7,57.4,5,7.4,Yes,81.7
7.4,83.5,45.6,9,6.4,Yes,94.3
1.4,99.7,59.8,8,8.7,Yes,76.8
2.9,83.1,54.9,6,6.6,Yes,76.8
6.6,77.9,86.3,5,5.6,Yes,89.6
6.2,86.5,57.2,6,7.9,No,95.9
2.3,73.3,83.4,6,6.2,No,70.5
2.5,53.0,89.1,5,7.1,Yes,76.7
3.6,78.1,63.9,4,7.8,Yes,80.9
4.4,97.9,90.0,9,8.6,No,97.1
5.3,58.8,60.8,5,8.2,No,81.2
3.6,84.5,93.0,10,7.7,No,88.5
4.2,60.0,44.9,5,7.7,No,73.8
6.2,76.8,77.8,8,8.8,No,96.5
1.3,54.8,67.2,5,6.2,Yes,59.2
2.8,72.5,61.3,4,5.0,No,62.8
6.0,87.8,74.8,8,6.1,No,97.3
7.3,67.4,78.7,10,5.9,No,94.5
4.6,83.2,40.2,3,7.6,Yes,68.4
4.7,89.8,49.2,3,7.5,Yes,76.1
1.8,96.4,79.2,6,7.4,Yes,76.2
4.1,61.7,76.7,9,5.1,Yes,91.9
4.7,70.0,93.1,6,7.9,Yes,89.9
2.7,57.6,81.9,4,6.3,Yes,76.5
2.9,99.6,92.3,7,7.7,No,91.9
3.6,96.4,78.6,10,7.2,Yes,89.9
1.1,77.0,56.4,9,6.4,Yes,69.5
3.3,92.1,45.8,10,5.5,No,79.4
2.5,76.0,83.0,3,5.4,Yes,72.7
3.3,81.2,75.4,6,8.3,No,87.3
1.8,54.5,42.7,10,8.7,No,68.9
7.2,87.8,59.8,3,7.6,Yes,95.2
5.2,56.4,92.6,4,5.4,No,79.1
5.8,91.3,67.5,4,6.6,No,80.2
6.5,89.1,63.8,7,7.9,No,89.9
4.5,85.4,65.2,10,8.1,No,90.3
1.6,51.8,51.5,7,5.5,Yes,61.9
4.8,65.2,60.3,8,5.0,No,65.2
5.1,63.2,60.3,9,7.8,Yes,85.5
6.2,68.0,42.9,10,6.4,No,82.2
4.0,54.4,82.2,4,6.0,No,72.0
1.9,96.8,62.9,6,5.1,No,76.9
3.0,77.7,85.2,3,7.2,Yes,81.7
3.5,65.3,86.8,5,8.4,Yes,90.4
5.5,69.8,51.7,7,8.8,Yes,83.2
5.0,72.4,76.2,5,7.3,No,87.9
3.5,80.0,66.0,10,7.1,No,90.9
7.9,75.8,88.4,6,5.3,No,100.0
5.2,96.0,51.9,7,7.2,No,78.8
2.7,74.8,77.3,5,6.5,Yes,75.5
1.7,99.6,73.4,9,7.4,No,80.3
2.1,92.6,56.2,6,6.6,Yes,75.6
2.7,60.4,47.5,3,6.0,No,59.5
2.1,96.5,75.8,9,5.4,Yes,79.5
2.3,55.8,80.6,6,6.3,Yes,73.1
3.0,90.9,57.4,8,5.4,No,64.8
2.2,69.0,75.5,7,5.7,No,78.7
7.3,93.9,61.7,4,8.9,Yes,94.1
1.6,93.4,79.2,3,6.8,No,72.4
4.7,90.3,51.0,10,7.1,No,83.3
3.9,89.5,89.0,9,8.5,Yes,100.0
7.9,65.2,55.8,9,9.0,Yes,83.2
1.8,54.0,60.2,5,7.3,Yes,63.1
3.8,70.1,43.2,7,8.2,Yes,73.1
7.8,58.7,46.1,10,6.3,No,84.2
7.1,84.7,68.4,4,6.2,Yes,100.0
6.7,67.3,54.7,6,6.6,Yes,80.2
2.8,98.8,86.0,4,7.7,Yes,90.4
2.2,82.0,40.8,7,7.7,No,67.4
5.7,91.1,60.9,7,6.3,Yes,96.1
7.5,56.6,58.6,8,5.5,No,81.6
4.9,93.1,41.1,8,7.5,Yes,79.8
5.0,96.1,46.8,4,5.5,Yes,83.1
3.0,74.4,62.8,6,7.3,No,74.7
6.4,80.3,67.1,4,7.8,Yes,82.1
2.3,88.2,62.2,7,7.8,Yes,75.5
3.3,58.7,69.2,7,8.0,No,76.5
4.0,75.1,72.7,5,8.5,Yes,87.7
4.6,69.9,40.5,8,7.0,Yes,72.2
2.7,57.3,65.5,10,7.9,Yes,63.3
1.8,68.4,93.0,10,7.5,Yes,88.7
5.3,53.4,68.5,10,5.7,No,76.0
3.0,51.3,77.3,5,5.1,Yes,59.9
5.1,56.8,57.2,3,6.1,No,54.1
2.1,98.2,82.6,10,6.8,Yes,94.1
4.4,77.5,82.5,7,7.5,No,88.2
4.7,98.3,68.7,5,8.4,Yes,89.4
1.4,71.6,93.7,4,5.8,No,77.9
3.4,65.6,46.9,8,5.5,Yes,72.9
1.9,75.3,40.9,8,8.9,No,74.2
1.4,72.0,82.4,6,5.4,No,62.6
7.9,55.3,84.4,4,6.9,Yes,94.1
3.3,82.0,46.6,6,7.3,No,61.9
6.7,60.8,54.6,5,7.2,Yes,81.3
2.8,81.0,41.0,9,5.3,Yes,69.0
5.8,82.5,56.1,10,5.2,Yes,92.4
6.3,57.6,82.5,3,5.4,Yes,84.3
5.2,53.1,68.5,4,7.3,Yes,81.1
4.3,89.0,59.1,4,7.2,No,80.5
3.9,73.0,60.4,4,5.9,Yes,83.6
3.4,52.9,40.1,6,7.6,Yes,62.7
7.5,99.7,56.5,5,8.3,Yes,92.9
6.8,52.9,75.6,4,5.2,Yes,84.9
7.8,84.8,93.6,9,7.0,Yes,100.0
1.9,99.2,86.6,4,7.8,Yes,90.8
6.1,62.0,41.3,8,6.0,No,73.9
7.6,57.1,89.4,10,6.2,No,97.4
2.3,56.1,83.1,3,7.5,Yes,68.7
1.5,65.2,82.9,10,8.6,No,82.8
6.2,55.1,65.2,8,8.2,Yes,87.9
5.0,84.6,61.9,8,7.3,Yes,85.6
6.9,53.1,56.7,3,7.9,Yes,88.4
2.0,75.5,43.6,9,6.5,Yes,64.1
6.6,99.8,52.6,5,7.6,Yes,91.8
2.4,90.7,53.6,8,6.9,No,76.6
2.1,80.8,66.6,5,5.8,No,60.0
2.1,65.3,81.1,8,7.8,No,79.2
6.7,81.2,66.1,7,7.2,No,86.3
5.7,76.4,43.2,3,6.4,Yes,78.2
4.7,71.3,92.7,8,8.6,No,89.2
3.5,56.5,91.8,7,5.1,Yes,84.9
7.1,94.3,83.2,10,6.3,No,100.0
3.7,72.5,94.5,6,5.2,No,87.1
6.7,59.7,69.9,7,8.1,No,90.1
4.1,68.4,93.0,4,7.8,No,82.6
3.6,70.7,44.2,8,6.3,Yes,69.1
4.2,91.4,60.1,7,7.7,No,90.1
3.1,86.7,52.4,5,6.6,No,66.3
6.2,88.5,50.8,6,8.0,Yes,83.5
4.5,50.6,47.7,9,6.8,Yes,77.4
2.6,70.8,74.2,8,6.6,No,72.0
7.3,74.1,83.0,4,8.7,Yes,94.1
3.7,51.0,71.8,9,6.0,Yes,71.0
4.8,63.0,48.1,7,5.5,Yes,71.1
7.3,88.0,84.6,9,7.3,No,100.0
5.4,56.9,75.0,9,8.9,Yes,93.1
1.8,76.8,61.3,6,6.5,No,71.4
7.6,60.8,77.1,10,5.2,No,98.0
5.4,50.6,54.3,9,6.4,No,75.4
3.3,62.1,59.0,9,7.0,No,72.4
2.0,98.8,90.5,8,5.6,Yes,90.3
6.6,90.1,56.0,10,7.6,No,100.0
5.3,98.0,65.8,6,9.0,Yes,94.9
4.7,74.4,89.0,4,6.8,No,82.4
7.3,55.5,78.9,7,6.4,Yes,88.8
6.5,77.4,43.4,6,6.6,No,72.2
2.1,72.7,48.1,6,5.5,Yes,67.0
3.2,92.2,40.4,3,8.5,No,70.1
2.7,54.9,74.7,6,6.7,No,72.6
6.2,74.4,64.6,10,6.5,Yes,93.1
1.2,57.5,47.4,3,7.6,No,58.7
5.0,66.2,92.7,7,6.8,No,87.3
6.3,86.9,69.1,9,7.6,No,100.0
7.1,73.8,53.3,8,5.2,Yes,88.1
3.4,68.8,67.5,8,8.3,No,75.8
6.7,69.7,77.4,7,8.8,No,98.0
1.8,73.0,44.2,7,7.6,Yes,67.9
6.9,89.3,55.1,10,8.8,Yes,100.0
1.9,94.6,84.4,5,5.6,Yes,80.1
3.8,97.8,65.3,9,6.9,Yes,89.2
6.6,89.3,70.1,7,7.4,Yes,100.0
2.0,65.8,63.8,6,7.3,No,72.7
2.6,84.4,42.4,10,6.6,No,74.9
6.1,71.9,49.1,8,6.4,No,81.7
6.0,62.7,64.5,4,5.5,Yes,84.5
5.5,92.0,51.5,10,6.6,No,90.5
5.9,51.9,42.7,8,5.7,Yes,75.2
4.8,95.1,86.4,3,7.9,Yes,91.0
2.8,73.1,94.0,10,5.8,No,85.7
3.4,81.9,83.6,8,5.2,Yes,70.3
2.3,83.0,87.0,5,7.2,Yes,82.8
7.4,94.8,53.3,10,7.4,No,95.6
5.1,81.8,92.8,10,8.5,Yes,100.0
3.8,80.7,50.8,9,7.3,Yes,80.7
4.2,53.3,92.3,7,6.4,No,76.6
7.6,75.9,94.7,9,8.2,Yes,100.0
2.1,57.5,79.1,10,7.2,Yes,74.0
5.1,86.9,94.0,7,5.3,No,95.8
4.5,75.6,71.3,8,7.3,No,86.3
5.3,84.0,54.3,4,8.6,No,84.9
1.1,52.1,64.0,4,6.6,No,51.8
7.1,54.2,72.6,10,6.2,Yes,94.8
7.5,85.8,44.0,5,5.6,Yes,78.9
5.0,53.6,74.2,3,5.6,No,75.8
5.9,53.6,94.0,8,6.7,Yes,97.5
7.5,50.6,50.5,7,7.4,Yes,87.4
6.0,97.8,83.6,10,5.3,No,100.0
2.1,86.9,89.9,8,8.8,No,88.9
5.0,67.7,91.9,10,8.0,Yes,100.0
5.2,64.8,92.8,5,7.3,No,86.5
4.0,67.5,68.7,6,8.3,No,79.1
6.2,88.7,93.8,6,5.3,No,91.3
7.5,83.1,81.7,5,6.9,Yes,95.9
7.5,59.3,48.9,7,7.5,No,84.2
4.2,58.7,66.2,9,8.3,Yes,89.1
1.8,54.9,79.5,5,8.1,Yes,70.1
7.9,83.0,53.6,10,6.1,Yes,97.1
6.9,88.2,75.2,7,8.8,No,97.6
1.9,63.3,76.7,4,5.5,No,61.8
7.4,51.0,48.9,5,8.5,No,81.2
7.1,54.1,71.1,7,8.9,No,83.2
4.6,98.4,82.4,5,5.7,No,94.3
5.1,64.8,67.4,5,7.9,Yes,79.2
3.8,88.5,40.7,9,5.2,Yes,79.5
1.4,81.2,40.5,9,6.6,Yes,60.1
3.3,69.1,59.6,10,7.1,No,80.3
6.6,60.3,90.9,7,7.3,Yes,100.0
1.0,56.1,52.6,7,8.7,Yes,64.9
3.3,80.8,74.9,3,7.7,No,70.7
3.8,88.7,52.2,5,6.9,No,74.7
4.8,82.2,57.7,6,8.2,Yes,78.3
7.4,76.5,86.6,5,8.8,Yes,100.0
3.4,52.1,80.1,5,5.1,No,75.0
3.4,98.4,45.2,7,8.9,No,81.9
6.2,89.9,63.6,5,5.3,No,85.1
4.2,64.6,41.6,8,8.3,No,67.1
2.6,99.0,66.4,5,6.1,Yes,81.3
4.2,80.1,76.4,8,5.5,Yes,86.9
2.0,79.1,46.5,9,6.8,No,56.1
2.2,87.4,55.9,6,7.6,Yes,77.5
4.5,90.6,61.9,10,6.5,Yes,89.9
3.9,82.8,90.6,7,5.2,No,92.3
7.4,56.4,94.6,5,7.4,Yes,92.9
3.5,66.9,42.5,8,8.6,Yes,57.6
5.1,96.4,81.9,8,6.5,Yes,99.3
5.4,61.2,60.4,9,5.9,No,81.8
1.1,68.6,61.6,8,6.8,No,56.9
5.6,71.6,81.5,10,5.2,Yes,89.7
2.2,72.0,90.5,4,8.3,No,90.7
7.7,80.6,92.3,3,8.3,No,98.7
2.0,97.2,71.7,10,7.4,No,87.1
3.9,62.0,59.6,6,6.4,Yes,70.3
1.6,56.1,83.3,10,8.2,Yes,69.4
8.0,59.9,53.8,9,7.2,No,89.3
4.5,94.3,71.0,9,8.3,Yes,94.0
5.2,82.3,59.7,10,7.5,Yes,89.5
1.5,64.3,76.1,5,8.1,Yes,70.8
6.2,90.8,53.2,4,7.4,Yes,87.5
2.5,93.1,50.5,5,6.7,Yes,70.7
7.3,92.3,90.5,5,8.8,No,98.3
2.4,95.9,45.6,10,7.2,Yes,80.8
2.3,62.6,67.8,7,7.4,Yes,63.4
1.3,87.8,52.1,7,5.9,Yes,57.5
4.3,73.0,42.1,7,7.5,No,75.6
5.0,92.1,42.0,4,7.3,No,77.2
1.5,86.4,49.6,5,5.7,No,60.7
6.4,88.8,87.7,3,5.2,Yes,86.8
4.2,82.8,55.5,6,7.4,No,73.5
4.7,58.9,92.3,7,8.1,No,87.2
4.1,77.3,72.0,7,7.1,No,74.1
3.8,99.2,64.0,9,5.9,No,81.1
4.9,96.9,71.9,5,7.7,Yes,94.3
2.1,52.2,68.4,5,5.3,No,68.0
2.3,58.2,81.7,4,6.8,No,66.4
7.0,56.6,55.5,4,5.7,Yes,82.9
7.6,86.3,59.4,7,5.7,Yes,85.2
3.6,90.9,89.2,5,5.8,No,87.8
2.9,60.7,92.1,3,6.5,Yes,72.2
5.5,75.3,89.1,6,5.2,No,90.3
3.9,92.0,63.1,10,6.6,Yes,87.3
1.2,86.6,82.9,5,7.0,Yes,83.1
2.1,77.1,66.2,9,6.9,No,70.3
6.0,79.5,67.4,10,6.5,Yes,98.4
5.6,75.4,51.3,5,8.4,No,77.9
1.2,64.9,72.5,8,5.6,Yes,69.0
2.6,78.3,50.2,4,7.0,No,63.1
2.6,84.4,58.2,9,5.2,Yes,71.9
5.7,93.7,87.0,6,5.3,Yes,96.6
1.1,81.8,51.4,7,7.3,Yes,67.0
1.7,88.1,43.9,9,7.3,Yes,72.8
6.6,58.0,43.8,5,8.5,Yes,79.9
2.2,73.1,91.7,7,7.2,No,84.5
5.6,50.5,67.9,5,8.8,Yes,87.1
2.7,62.3,62.5,7,5.2,No,61.3
1.7,86.3,84.6,6,5.4,No,79.4
2.7,99.6,86.0,4,5.2,No,73.7
6.1,55.0,58.3,6,5.7,Yes,82.0
7.0,70.1,78.1,8,7.2,No,98.8
6.8,90.0,82.4,3,7.6,Yes,87.9
3.8,60.2,76.0,4,5.2,No,71.1
5.7,77.8,48.3,6,8.8,No,79.0
2.4,86.7,88.2,8,8.4,No,83.0
3.1,80.8,69.7,3,6.2,No,77.5
7.3,59.4,55.5,8,5.3,No,80.2
1.1,67.8,63.4,5,5.7,Yes,58.6
1.6,89.2,42.1,10,5.5,No,67.1
2.5,77.7,47.0,5,5.5,No,65.1
1.2,50.3,82.1,7,7.1,Yes,69.6
2.3,88.0,40.0,4,6.0,Yes,69.0
5.1,51.8,62.9,5,6.4,Yes,78.1
3.9,87.3,68.7,9,9.0,No,77.6
7.2,60.1,43.0,8,7.7,No,79.8
6.7,97.9,93.5,4,8.8,No,100.0
3.4,68.4,52.4,10,5.6,No,74.8
2.8,66.3,56.7,9,6.5,No,57.7
3.7,57.4,56.7,5,7.2,No,80.0
5.1,65.3,52.7,7,5.3,Yes,79.3
2.9,93.8,40.1,6,5.0,Yes,69.3
5.4,99.8,80.1,7,7.7,No,100.0
3.9,68.4,93.2,9,7.6,No,100.0
4.9,72.4,52.3,3,6.6,No,74.8
4.1,86.1,76.5,5,7.0,No,87.4
3.1,94.3,80.8,9,6.7,No,88.5
7.6,79.7,86.7,3,5.1,Yes,95.1
6.3,69.6,63.2,3,6.3,Yes,79.3
2.0,70.6,56.7,8,5.7,No,61.9
7.1,84.8,57.9,4,5.4,Yes,83.5
4.4,50.2,79.2,8,8.8,No,76.3
7.3,81.0,84.9,5,7.4,No,97.4
6.6,67.8,50.0,3,7.9,No,68.8
4.0,89.7,60.4,10,6.3,Yes,88.0
1.2,54.6,89.6,9,6.6,Yes,76.0
2.9,79.4,84.4,6,5.9,No,79.6
4.8,74.0,94.2,3,5.4,Yes,83.7
5.4,82.1,81.5,9,5.7,Yes,100.0
2.8,53.2,61.6,10,8.2,No,80.2
2.0,79.0,72.5,6,7.7,Yes,70.5
6.8,78.1,76.4,8,7.2,Yes,100.0
7.9,78.0,44.3,8,6.9,No,85.9
4.7,80.2,69.9,4,8.7,No,77.3
2.2,83.8,79.0,9,5.3,Yes,75.1
2.9,90.2,49.2,3,6.1,No,67.2
1.1,63.5,82.9,7,6.4,Yes,69.0
7.4,91.3,72.1,8,8.1,No,100.0
1.8,74.9,92.4,8,9.0,No,88.7
5.0,53.9,42.3,4,6.0,No,70.1
2.9,52.9,54.6,6,8.5,No,61.4
4.9,66.7,73.1,4,8.3,Yes,85.7
5.6,89.2,56.3,10,5.9,No,91.4
6.8,85.4,79.3,3,6.6,No,88.3
2.4,89.4,81.7,9,6.6,No,80.1
1.1,75.9,45.6,5,8.9,Yes,71.2
2.0,72.0,68.3,5,5.7,Yes,70.1
7.3,57.4,68.0,9,8.2,No,96.3
7.1,66.4,60.3,6,6.3,No,80.4
5.2,71.7,91.3,10,7.9,No,91.4
5.2,54.4,85.5,8,6.7,No,83.5
5.7,61.0,78.3,6,7.3,No,84.8
2.2,79.9,79.3,8,8.3,No,75.7
7.4,86.8,65.4,8,8.2,Yes,100.0
3.9,99.9,90.7,5,8.5,No,84.1
3.7,96.7,78.2,6,5.2,No,77.5
4.6,82.1,80.1,10,7.8,No,97.0
1.3,71.1,87.4,4,5.6,No,71.0
2.2,81.8,55.1,8,6.7,No,68.6
6.2,89.3,84.4,7,7.2,No,92.9
1.6,55.9,50.7,7,6.6,Yes,56.4
5.2,70.5,59.0,4,7.1,Yes,76.9
2.7,92.0,58.5,7,9.0,Yes,84.5
3.7,69.2,93.8,3,5.5,Yes,85.3
3.0,78.6,87.1,8,7.7,Yes,86.2
3.5,79.4,78.6,4,6.6,Yes,74.5
6.0,59.2,80.0,6,5.5,No,85.4
3.1,68.1,70.9,8,5.6,No,70.5
5.0,66.7,92.1,4,8.8,No,85.5
4.3,51.3,67.3,5,8.5,No,80.5
5.6,51.2,60.9,10,8.6,No,88.6
7.6,91.6,49.0,6,9.0,No,93.7
6.1,63.7,83.2,10,5.8,Yes,89.8
2.5,75.9,80.4,5,6.4,No,75.3
1.2,64.9,61.1,8,7.7,Yes,74.3
2.8,97.0,41.4,6,6.9,Yes,70.4
5.2,63.0,86.1,10,6.7,No,98.5
1.4,71.5,40.6,7,6.4,No,64.2
4.5,93.6,78.7,10,7.4,No,100.0
5.2,92.1,93.4,4,7.3,No,95.0
3.3,59.3,64.1,8,5.6,No,73.8
6.4,90.1,52.9,3,6.9,No,88.6
1.7,72.9,78.8,10,7.2,No,80.6
1.5,74.1,84.9,6,7.3,Yes,74.7
6.1,56.7,70.1,6,5.8,No,78.6
4.5,54.0,93.2,9,8.0,No,90.8
5.8,86.4,42.8,10,5.1,Yes,79.0
4.0,74.8,67.8,8,6.4,No,79.3
2.7,71.8,79.5,8,8.1,No,86.2
6.7,86.5,87.4,5,7.3,Yes,89.5
6.6,88.3,49.9,9,6.0,No,96.1
5.9,57.9,84.0,10,7.8,No,99.8
2.9,80.5,70.4,7,7.3,No,75.5
5.1,56.8,61.8,5,8.2,No,78.7
3.5,87.6,47.2,9,7.9,No,77.8
1.6,82.8,87.6,10,7.4,No,90.0
7.4,97.8,48.7,10,7.0,Yes,100.0
2.0,53.4,57.0,5,5.5,No,50.0
7.7,52.9,56.0,7,6.0,No,86.1
4.1,64.1,87.9,9,6.7,Yes,88.7
